word1	word2	relation	label
pheasant	game	hyper	1
pheasant	bird	hyper	1
pheasant	vertebrate	hyper	1
pheasant	creature	hyper	1
dove	pheasant	other	0
animal	pheasant	rhyper	-1
beak	pheasant	other	0
pheasant	pakistani	other	0
sparrow	creature	hyper	1
sparrow	animal	hyper	1
sparrow	vertebrate	hyper	1
sparrow	football	other	0
pheasant	sparrow	other	0
bird	sparrow	rhyper	-1
fox	vertebrate	hyper	1
fox	animal	hyper	1
fox	mammal	hyper	1
fox	predator	hyper	1
fox	carnivore	hyper	1
fox	canine	hyper	1
beast	fox	rhyper	-1
fox	sub-committee	other	0
creature	fox	rhyper	-1
fox	mouth	other	0
fox	giraffe	other	0
tail	fox	other	0
stove	device	hyper	1
stove	object	hyper	1
stove	artifact	hyper	1
stove	artefact	hyper	1
stove	commodity	hyper	1
stove	migraine	other	0
good	stove	rhyper	-1
appliance	stove	rhyper	-1
bookshop	stove	other	0
telephone	stove	other	0
rifle	artifact	hyper	1
rifle	weapon	hyper	1
rifle	arm	hyper	1
rifle	artefact	hyper	1
rifle	gun	hyper	1
rifle	firearm	hyper	1
kalashnikov	rifle	other	0
rifle	revolver	other	0
device	rifle	rhyper	-1
object	rifle	rhyper	-1
barrel	rifle	other	0
rifle	hockey	other	0
cottage	construction	hyper	1
cottage	dwelling	hyper	1
cottage	housing	hyper	1
cottage	structure	hyper	1
cottage	building	hyper	1
cottage	home	hyper	1
cottage	habitation	hyper	1
cottage	edifice	hyper	1
alcohol	cottage	other	0
restaurant	cottage	other	0
accommodation	cottage	rhyper	-1
owner	cottage	other	0
ceiling	cottage	other	0
lodging	cottage	rhyper	-1
cottage	castle	other	0
cottage	camera	other	0
radio	artefact	hyper	1
radio	good	hyper	1
radio	object	hyper	1
radio	system	hyper	1
radio	device	hyper	1
radio	appliance	hyper	1
radio	commodity	hyper	1
washer	radio	other	0
speaker	radio	other	0
radio	wire	other	0
artifact	radio	rhyper	-1
radio	canvas	other	0
equipment	radio	rhyper	-1
radio	stereo	other	0
pine	tree	hyper	1
pine	evergreen	hyper	1
pine	tooling	other	0
stump	pine	other	0
oven	artifact	hyper	1
oven	artefact	hyper	1
oven	device	hyper	1
oven	good	hyper	1
oven	commodity	hyper	1
steel	oven	other	0
appliance	oven	rhyper	-1
oven	import	other	0
oven	television	other	0
oven	timer	other	0
bomb	artefact	hyper	1
bomb	device	hyper	1
bomb	arm	hyper	1
bomb	weapon	hyper	1
fuse	bomb	other	0
artifact	bomb	rhyper	-1
dagger	bomb	other	0
bomb	thoroughfare	other	0
chair	artifact	hyper	1
chair	furniture	hyper	1
chair	object	hyper	1
chair	artefact	hyper	1
stool	chair	other	0
chair	scroll	other	0
furnishing	chair	rhyper	-1
cushion	chair	other	0
bomber	conveyance	hyper	1
bomber	aircraft	hyper	1
bomber	plane	hyper	1
bomber	transport	hyper	1
bomber	warplane	hyper	1
bomber	aeroplane	hyper	1
bomber	artifact	hyper	1
bomber	airplane	hyper	1
bomber	helicopter	other	0
vehicle	bomber	rhyper	-1
bomber	fuel	other	0
taste	bomber	other	0
windshield	bomber	other	0
frigate	bomber	other	0
artefact	bomber	rhyper	-1
bomber	setting	other	0
grape	berry	hyper	1
grape	food	hyper	1
grape	fruit	hyper	1
grape	reef	other	0
cherry	grape	other	0
produce	grape	rhyper	-1
elm	tree	hyper	1
plant	elm	rhyper	-1
willow	tree	hyper	1
flower	willow	other	0
cherry	produce	hyper	1
cherry	food	hyper	1
stone	cherry	other	0
fruit	cherry	rhyper	-1
scooter	transport	hyper	1
scooter	artefact	hyper	1
scooter	vehicle	hyper	1
scooter	artifact	hyper	1
scooter	necessity	other	0
conveyance	scooter	rhyper	-1
moped	scooter	other	0
fuel	scooter	other	0
swan	vertebrate	hyper	1
swan	bird	hyper	1
swan	waterfowl	hyper	1
swan	creature	hyper	1
crow	swan	other	0
swan	overdraft	other	0
animal	swan	rhyper	-1
eye	swan	other	0
jar	vessel	hyper	1
jar	artefact	hyper	1
jar	container	hyper	1
jar	artifact	hyper	1
jar	object	hyper	1
kitchenware	jar	rhyper	-1
jam	jar	other	0
jar	cookie	other	0
respect	jar	other	0
jar	plate	other	0
cloak	clothing	hyper	1
cloak	artefact	hyper	1
cloak	clothes	hyper	1
cloak	covering	hyper	1
cloak	commodity	hyper	1
cloak	artifact	hyper	1
cloak	apparel	hyper	1
cloak	wear	hyper	1
back	cloak	other	0
workload	cloak	other	0
garment	cloak	rhyper	-1
jacket	cloak	other	0
cloak	greenbelt	other	0
cloak	stigma	other	0
cloak	trousers	other	0
good	cloak	rhyper	-1
glider	artifact	hyper	1
glider	aircraft	hyper	1
glider	transport	hyper	1
glider	craft	hyper	1
glider	artefact	hyper	1
back	glider	other	0
conveyance	glider	rhyper	-1
glider	front	other	0
vehicle	glider	rhyper	-1
boy	glider	other	0
grapefruit	produce	hyper	1
grapefruit	citrus	hyper	1
grapefruit	fruit	hyper	1
food	grapefruit	rhyper	-1
cranberry	grapefruit	other	0
grapefruit	re-assessment	other	0
radish	produce	hyper	1
radish	food	hyper	1
radish	vegetable	hyper	1
leaf	radish	other	0
turnip	radish	other	0
radish	vinyl	other	0
robe	garment	hyper	1
robe	artefact	hyper	1
robe	covering	hyper	1
robe	commodity	hyper	1
robe	apparel	hyper	1
robe	clothing	hyper	1
robe	good	hyper	1
robe	artifact	hyper	1
hat	robe	other	0
robe	commentary	other	0
back	robe	other	0
robe	ruminant	other	0
object	robe	rhyper	-1
blouse	robe	other	0
something	robe	other	0
robe	front	other	0
hat	covering	hyper	1
hat	apparel	hyper	1
hat	wear	hyper	1
hat	good	hyper	1
hat	accessory	hyper	1
hat	artefact	hyper	1
hat	clothing	hyper	1
hat	headgear	hyper	1
hat	garment	hyper	1
hat	headdress	hyper	1
hat	object	hyper	1
commencement	hat	other	0
hat	virus	other	0
robe	hat	other	0
commodity	hat	rhyper	-1
inside	hat	other	0
hat	italian	other	0
artifact	hat	rhyper	-1
jacket	hat	other	0
outside	hat	other	0
hat	crown	other	0
clothes	hat	rhyper	-1
battleship	artefact	hyper	1
battleship	vehicle	hyper	1
battleship	vessel	hyper	1
battleship	warship	hyper	1
battleship	craft	hyper	1
plantation	battleship	other	0
battleship	lack	other	0
battleship	glider	other	0
topside	battleship	other	0
ship	battleship	rhyper	-1
cannon	artifact	hyper	1
cannon	gun	hyper	1
cannon	arm	hyper	1
cannon	device	hyper	1
cannon	object	hyper	1
trigger	cannon	other	0
cannon	chamber	other	0
achiever	cannon	other	0
artefact	cannon	rhyper	-1
hatchet	cannon	other	0
vulture	raptor	hyper	1
vulture	predator	hyper	1
vulture	scavenger	hyper	1
vulture	creature	hyper	1
vulture	animal	hyper	1
vertebrate	vulture	rhyper	-1
vulture	goose	other	0
beak	vulture	other	0
dismay	vulture	other	0
bird	vulture	rhyper	-1
fridge	commodity	hyper	1
fridge	object	hyper	1
fridge	artifact	hyper	1
fridge	device	hyper	1
fridge	artefact	hyper	1
telephone	fridge	other	0
fridge	food	other	0
good	fridge	rhyper	-1
fridge	test	other	0
learner	fridge	other	0
bear	mammal	hyper	1
bear	creature	hyper	1
bear	vertebrate	hyper	1
bear	beast	hyper	1
dog	bear	other	0
jaw	bear	other	0
bear	fur	other	0
animal	bear	rhyper	-1
spoon	artefact	hyper	1
spoon	cutlery	hyper	1
spoon	artifact	hyper	1
spoon	tool	hyper	1
spoon	object	hyper	1
spoon	tableware	hyper	1
spoon	container	hyper	1
kitchenware	spoon	rhyper	-1
spoon	empathy	other	0
lock-up	spoon	other	0
shovel	spoon	other	0
wood	spoon	other	0
spoon	head	other	0
spoon	wrench	other	0
giraffe	herbivore	hyper	1
giraffe	beast	hyper	1
giraffe	mammal	hyper	1
giraffe	vertebrate	hyper	1
assessor	giraffe	other	0
giraffe	leg	other	0
giraffe	violin	other	0
