word1	word2	pos	label	score	fold
mascara	lipstick	N	cohyp	0.71	train
nylon	cotton	N	cohyp	0.82	train
monkey	humor	N	no-rel	0.50	train
breast	turkey	N	mero	1.08	train
soil	earth	N	hyp-1	4.10	train
galosh	rubber	N	syn	1.92	train
highway	road	N	hyp-1	5.80	train
veal	meat	N	hyp-1	5.86	train
ceremony	blade	N	no-rel	0.55	train
victor	winner	N	syn	3.69	train
nose	face	N	cohyp	1.00	train
math	domain	N	hyp-3	1.00	train
casket	box	N	hyp-1	5.00	train
letter	alphabet	N	mero	2.45	train
oat	cereal	N	hyp-1	5.09	train
jewelry	ring	N	r-hyp-1	1.67	train
tortoise	animal	N	hyp-4	5.92	train
volleyball	game	N	hyp-3	5.83	train
shape	triangle	N	r-hyp-4	0.77	train
timber	lumber	N	syn	3.83	train
goo	muck	N	syn	3.42	train
gossip	rumor	N	hyp-1	3.00	train
body	corpse	N	r-hyp-1	2.25	train
eye	face	N	mero	1.20	train
lecture	speech	N	hyp-1	5.18	train
guitar	instrument	N	hyp-2	5.92	train
horn	goat	N	mero	0.60	train
creek	water	N	hyp-2	2.83	train
ledge	shelf	N	syn	4.30	train
mission	duty	N	hyp-2	4.44	train
calculus	trigonometry	N	cohyp	0.77	train
vehicle	motorcycle	N	r-hyp-4	1.09	train
melody	tune	N	syn	5.42	train
head	body	N	mero	1.69	train
shell	turtle	N	mero	0.90	train
stud	bull	N	cohyp	3.36	train
point	pencil	N	mero	0.58	train
car	vehicle	N	hyp-4	6.00	train
chicken	food	N	hyp-4	5.31	train
tissue	organ	N	cohyp	2.77	train
fabric	cotton	N	r-hyp-1	1.36	train
keyboard	piano	N	mero	4.25	train
human	encyclopedia	N	no-rel	0.90	train
joke	humor	N	hyp-1	4.17	train
control	experiment	N	mero	2.62	train
pike	spike	N	cohyp	3.42	train
repentance	guilt	N	cohyp	3.25	train
blade	knife	N	mero	3.31	train
television	medium	N	hyp-3	5.29	train
defense	offense	N	ant	2.15	train
christian	church	N	mero	2.50	train
leak	hole	N	hyp-1	1.50	train
wound	injury	N	hyp-1	5.46	train
police	authority	N	hyp-2	5.00	train
car	limousine	N	r-hyp-1	1.17	train
home	location	N	hyp-4	5.40	train
drawing	sketch	N	r-hyp-1	3.70	train
recreation	sport	N	r-hyp-1	2.46	train
freckle	spot	N	hyp-2	4.83	train
pork	pig	N	mero	2.00	train
letter	writing	N	hyp-3	2.36	train
atom	mythology	N	no-rel	0.21	train
cat	appearance	N	no-rel	0.60	train
rectangle	shape	N	hyp-4	5.85	train
mark	sign	N	syn	3.23	train
feature	face	N	mero	1.18	train
letter	character	N	hyp-1	4.54	train
flesh	human	N	mero	1.00	train
mom	parent	N	hyp-2	5.83	train
flour	dough	N	mero	0.18	train
neck	stream	N	no-rel	0.18	train
fork	fashion	N	no-rel	0.25	train
dagger	knife	N	hyp-1	5.78	train
field	stadium	N	mero	2.90	train
fireplace	chimney	N	mero	1.64	train
sight	vision	N	syn	4.33	train
hamburger	bird	N	no-rel	0.09	train
geyser	fountain	N	hyp-1	4.60	train
reaction	effect	N	hyp-2	4.77	train
lobby	building	N	mero	1.15	train
olive	pickle	N	cohyp	1.00	train
concert	performance	N	hyp-1	5.69	train
flower	plant	N	hyp-4	5.67	train
scoop	shovel	N	hyp-1	4.18	train
lunch	supper	N	cohyp	0.45	train
death	birth	N	ant	0.46	train
homework	work	N	hyp-4	4.92	train
chain	lock	N	cohyp	1.31	train
opinion	thought	N	hyp-1	4.57	train
sofa	chair	N	cohyp	3.38	train
toenail	toe	N	mero	0.77	train
disease	cancer	N	r-hyp-3	0.85	train
mason	worker	N	hyp-3	4.50	train
broth	soup	N	hyp-1	4.70	train
creator	artist	N	r-hyp-1	2.79	train
pastry	dough	N	hyp-1	3.00	train
sentence	judgment	N	hyp-2	4.33	train
cavern	cave	N	hyp-1	5.08	train
barley	herb	N	hyp-4	1.30	train
guide	book	N	hyp-3	4.64	train
contact	lens	N	hyp-1	3.92	train
vehicle	utensil	N	no-rel	0.57	train
waterfall	tennis	N	no-rel	0.42	train
baseball	sport	N	hyp-4	5.85	train
sample	example	N	hyp-1	3.86	train
explorer	navigator	N	r-hyp-1	4.58	train
mitten	glove	N	hyp-1	4.08	train
suitcase	bag	N	syn	5.67	train
trout	fish	N	hyp-1	6.00	train
innocence	grape	N	no-rel	0.18	train
club	group	N	hyp-4	4.92	train
quill	fleet	N	no-rel	0.38	train
portion	percentage	N	syn	4.50	train
water	liquid	N	hyp-1	5.85	train
building	construction	N	syn	5.58	train
mattress	addition	N	no-rel	0.10	train
puberty	period	N	hyp-2	3.30	train
courage	bravery	N	syn	4.31	train
meter	unit	N	hyp-3	4.90	train
pecan	nut	N	hyp-2	5.93	train
wrestling	sport	N	hyp-2	5.31	train
appliance	oven	N	r-hyp-3	0.80	train
virtue	landscape	N	no-rel	0.08	train
funeral	ceremony	N	hyp-1	5.60	train
medicine	tablet	N	r-hyp-2	1.08	train
mouse	rat	N	cohyp	1.33	train
damage	harm	N	syn	4.38	train
ritual	event	N	hyp-4	4.64	train
width	height	N	cohyp	1.14	train
mosquito	insect	N	hyp-2	5.36	train
hen	chicken	N	hyp-1	5.67	train
silence	sound	N	ant	2.90	train
handbag	bowl	N	no-rel	0.00	train
server	waiter	N	syn	4.77	train
helium	gas	N	hyp-2	6.00	train
globe	sphere	N	hyp-1	5.08	train
mud	religion	N	no-rel	0.08	train
step	stairway	N	mero	3.57	train
maid	servant	N	hyp-2	5.29	train
stone	rock	N	syn	4.46	train
groom	wedding	N	mero	1.27	train
murderer	killer	N	hyp-1	5.90	train
maker	producer	N	r-hyp-1	3.15	train
dog	animal	N	hyp-2	5.77	train
hour	life	N	cohyp	1.91	train
bread	sandwich	N	mero	1.31	train
keg	container	N	hyp-3	5.80	train
cookie	food	N	hyp-3	5.93	train
sculpture	art	N	hyp-2	5.62	train
lesson	instruction	N	hyp-1	5.50	train
cement	stone	N	cohyp	3.82	train
assignment	homework	N	r-hyp-2	5.00	train
crab	seafood	N	hyp-2	6.00	train
professional	professor	N	r-hyp-3	2.18	train
headache	pain	N	hyp-2	5.92	train
hazard	risk	N	syn	3.83	train
incense	odor	N	hyp-2	4.40	train
movement	activity	N	hyp-4	4.69	train
understanding	knowledge	N	hyp-3	4.36	train
scene	movie	N	mero	2.00	train
incense	aroma	N	hyp-1	4.73	train
surgery	vacation	N	no-rel	0.55	train
politics	government	N	syn	2.11	train
thought	reflection	N	r-hyp-2	3.00	train
dungeon	cell	N	hyp-1	3.92	train
chain	bandage	N	no-rel	0.43	train
philosophy	study	N	hyp-2	4.83	train
appliance	washer	N	r-hyp-3	0.69	train
appliance	refrigerator	N	r-hyp-3	1.50	train
movement	motion	N	syn	4.92	train
force	power	N	hyp-2	3.18	train
mole	animal	N	hyp-4	5.80	train
jewel	ring	N	cohyp	2.42	train
slime	goo	N	syn	4.20	train
satan	devil	N	syn	5.38	train
craft	knitting	N	r-hyp-2	1.82	train
ecstasy	feeling	N	hyp-3	5.40	train
