word1	word2	label	fold
bookmark	performer	False	val
consistency	hardness	False	val
lizard	entertainer	False	val
etching	art	True	val
aircrew	playlist	False	val
panda	vertebrate	True	val
animal	cameraman	False	val
integer	twenty	False	val
performer	comedian	False	val
decrease	change	True	val
dinghy	boat	True	val
islander	inhabitant	True	val
infusion	animal	False	val
bag	review	False	val
organization	bear	False	val
tie	clothing	True	val
playlist	bat	False	val
batsman	athlete	True	val
washer	worker	True	val
enzyme	chick	False	val
lecturer	adult	True	val
electronics	science	True	val
goalkeeper	documentary	False	val
saying	machine	False	val
progenitor	ancestor	True	val
insect	librarian	False	val
rig	equipment	True	val
secret	information	True	val
questionnaire	document	True	val
soprano	singer	True	val
pope	leader	True	val
chant	music	True	val
golfer	player	True	val
telegraph	apparatus	True	val
puppy	vertebrate	True	val
bishop	cardinal	False	val
fender	barrier	True	val
larva	caterpillar	False	val
binder	machine	True	val
athlete	dancer	False	val
equipment	reel	False	val
condominium	housing	True	val
explanation	spore	False	val
leak	opening	True	val
sport	racing	False	val
woodpecker	covenant	False	val
gymnasium	school	True	val
pocket	container	True	val
vodka	privateer	False	val
vocalist	performer	True	val
horse	bear	False	val
crusade	therapy	False	val
vertebrate	organization	False	val
fear	suitcase	False	val
height	quarterback	False	val
polarization	phenomenon	True	val
snooker	game	True	val
netball	sport	False	val
heat	armchair	False	val
snail	animal	True	val
word	trait	False	val
sensation	tool	False	val
lunch	meal	True	val
bacterium	microorganism	True	val
progenitor	dad	False	val
soccer	game	True	val
subcontractor	contractor	True	val
conservatism	attitude	True	val
serpent	reptile	True	val
cotton	fiber	True	val
hawk	bird	True	val
travel	algebra	False	val
message	occupation	False	val
bird	cookie	False	val
jurisprudence	discipline	True	val
directorate	organization	True	val
jewelry	drummer	False	val
volleyball	pc	False	val
wheat	cereal	True	val
tummy	tissue	True	val
house	chalet	False	val
sweetness	sensation	True	val
book	fruit	False	val
invertebrate	science	False	val
roast	salmon	False	val
soloist	musician	True	val
jigsaw	machine	True	val
dermatitis	disease	True	val
disease	herpes	False	val
mammal	mankind	False	val
emotion	resentment	False	val
pseudonym	name	True	val
light	resident	False	val
integer	ecstasy	False	val
dealer	merchant	True	val
priest	secretariat	False	val
commerce	importation	False	val
monoclonal	protein	True	val
mammal	fox	False	val
psychotherapy	discipline	True	val
trumpeter	entertainer	True	val
science	linguistics	False	val
wolf	carnivore	True	val
thunderstorm	shower	False	val
sport	hymn	False	val
microbiology	biology	True	val
animal	kickoff	False	val
equipment	camera	False	val
bed	insect	False	val
mailbox	container	True	val
vertebrate	bitterness	False	val
performer	mime	False	val
geek	performer	True	val
sport	equipment	False	val
woman	bridesmaid	False	val
kangaroo	mammal	True	val
leukaemia	cancer	True	val
musket	rate	False	val
athlete	swimmer	False	val
protein	kilt	False	val
insect	fencing	False	val
coaching	occupation	True	val
fruit	pear	False	val
husband	relative	True	val
cleaning	animal	False	val
penicillin	antibiotic	True	val
pair	set	True	val
mammal	boar	False	val
attraction	phenomenon	True	val
railway	metro	False	val
offspring	son	False	val
envy	feeling	True	val
underside	sensation	False	val
food	honey	False	val
uprising	conflict	True	val
monastery	dwelling	True	val
algebra	athlete	False	val
transaction	investing	False	val
gentry	people	True	val
courthouse	building	True	val
liquid	pet	False	val
aide	serviceman	True	val
container	tip	False	val
whiskey	liquor	True	val
people	vicar	False	val
ginger	herb	True	val
eagle	vertebrate	True	val
container	teacher	False	val
dwelling	conversion	False	val
animal	ship	False	val
refreshment	food	True	val
rectangle	polygon	True	val
enzyme	animal	False	val
pocket	vehicle	False	val
carcinoma	granny	False	val
ant	insect	True	val
sport	golf	False	val
crow	animal	True	val
chamber	objectivity	False	val
forearm	merchant	False	val
greyhound	symphony	False	val
declaration	statement	True	val
chef	worker	True	val
jam	trait	False	val
science	employee	False	val
raven	vertebrate	True	val
vertebrate	victim	False	val
pc	machine	True	val
game	reelection	False	val
girlfriend	woman	True	val
larva	maggot	False	val
contestant	winner	False	val
trait	temperament	False	val
consumer	drinker	False	val
concerto	music	True	val
illness	asylum	False	val
organization	church	False	val
bird	eagle	False	val
sunlight	dealer	False	val
traitor	criminal	True	val
traveler	owl	False	val
bird	woman	False	val
explanation	excuse	False	val
word	emotion	False	val
integer	rodent	False	val
corporation	organization	True	val
animal	vertebrate	False	val
benzene	tent	False	val
experiment	research	True	val
bed	furniture	True	val
goldfish	vertebrate	True	val
pesticide	beard	False	val
ten	integer	True	val
theater	building	True	val
science	robin	False	val
professorship	misfortune	False	val
vi	digit	True	val
tenant	payer	True	val
lemon	humanist	False	val
bike	vehicle	True	val
yesterday	discipline	False	val
information	waitress	False	val
mosque	castle	False	val
petroleum	chemical	True	val
sport	badminton	False	val
vulture	fluid	False	val
worker	hospital	False	val
information	disease	False	val
trait	parameter	False	val
tank	vehicle	True	val
house	priory	False	val
commodity	annals	False	val
leader	science	False	val
house	monastery	False	val
gorge	valley	True	val
lingerie	payer	False	val
mortar	weaponry	True	val
red	color	True	val
immigration	migration	True	val
revolver	pistol	True	val
housing	guesthouse	False	val
catcher	psoriasis	False	val
cookie	solid	True	val
therapy	care	True	val
aromatherapy	therapy	True	val
monarch	ruler	True	val
anorexia	disorder	True	val
tumor	illness	True	val
humanism	doctrine	True	val
tyrant	ruler	True	val
swimming	sport	True	val
columnist	journalist	True	val
geology	charcoal	False	val
undertaking	slalom	False	val
association	organization	True	val
daddy	parent	True	val
thesaurus	publication	True	val
drug	benzodiazepine	False	val
scissors	tool	True	val
logic	crime	False	val
vial	container	True	val
vehicle	milk	False	val
porter	employee	True	val
border	boundary	True	val
kindergarten	institution	True	val
herpes	disease	True	val
lupus	disease	True	val
discipline	neuroscience	False	val
mosque	building	True	val
keyboardist	performer	True	val
symbol	vehicle	False	val
payment	solid	False	val
alpha	symbol	True	val
mare	vertebrate	True	val
thrill	emotion	True	val
immunology	science	True	val
intestine	organ	True	val
cracker	food	True	val
note	vehicle	False	val
strut	walk	True	val
signal	walnut	False	val
jet	vehicle	True	val
desire	feeling	True	val
buffalo	mammal	True	val
autobiography	record	True	val
python	animal	True	val
herb	osteoarthritis	False	val
velocity	rate	True	val
mangrove	tree	True	val
dryer	parent	False	val
professional	teacher	False	val
performer	drummer	False	val
horse	vertebrate	True	val
platter	publication	False	val
mollusc	business	False	val
boulevard	thoroughfare	True	test
tissue	animal	False	test
saying	slogan	False	test
container	spokeswoman	False	test
animal	gasoline	False	test
pearl	jewel	True	test
dioxin	package	False	test
victimisation	practice	True	test
governor	drift	False	test
mischief	vandalism	False	test
building	castle	False	test
cardinal	leader	True	test
offspring	arithmetic	False	test
joker	performer	True	test
food	pizza	False	test
mother	ancestor	True	test
freeway	road	True	test
stagecoach	vehicle	True	test
airplane	vehicle	True	test
bag	rucksack	False	test
science	pear	False	test
monastery	building	True	test
right	kingfisher	False	test
greyhound	animal	True	test
typhoon	storm	True	test
weakening	invertebrate	False	test
malaria	infection	True	test
medium	animal	False	test
scourge	instrument	True	test
modifier	word	True	test
comment	statement	True	test
volleyball	sport	True	test
ink	liquid	True	test
primate	priest	True	test
equipment	sherry	False	test
assortment	collection	True	test
gate	violinist	False	test
cafe	restaurant	True	test
breaker	worker	True	test
kilt	clothing	True	test
animal	artillery	False	test
tortoise	joint	False	test
produce	raisin	False	test
diplomat	ambassador	False	test
cycling	sport	True	test
bronze	alloy	True	test
suit	commodity	True	test
dad	progenitor	True	test
explanation	biplane	False	test
horseman	rider	True	test
security	fresco	False	test
dove	people	False	test
tree	travel	False	test
thief	housing	False	test
calamity	misfortune	True	test
polymerase	enzyme	True	test
vertebrate	spear	False	test
buggy	vehicle	True	test
chick	animal	True	test
building	transaction	False	test
python	reptile	True	test
criminology	sherry	False	test
infusion	solution	True	test
subcommittee	organization	True	test
thoroughfare	boulevard	False	test
registry	record	True	test
bat	vertebrate	True	test
seaplane	crystal	False	test
telecommunication	twenty	False	test
frustration	terror	False	test
rain	drizzle	False	test
disease	housing	False	test
sewer	conduit	True	test
instrument	animal	False	test
mailbox	crusade	False	test
endurance	strength	True	test
vehicle	frigate	False	test
vertex	point	True	test
rodent	vole	False	test
tank	building	False	test
tip	end	True	test
logic	mammal	False	test
memorandum	racing	False	test
camera	magistrate	False	test
animal	bug	False	test
housewife	woman	True	test
