word1	word2	label	relation	fold
frigate	craft	True	hyper	val
trouble	carp	False	other	val
fox	mouth	False	other	val
foot	robin	False	other	val
vest	garment	True	hyper	val
beetle	insect	True	hyper	val
axe	utensil	True	hyper	val
chair	scroll	False	other	val
end	spear	False	other	val
assessor	giraffe	False	other	val
conveyance	scooter	False	other	val
car	yacht	False	other	val
back	robe	False	other	val
commencement	hat	False	other	val
sheep	cow	False	other	val
cloak	greenbelt	False	other	val
eye	cat	False	other	val
birch	cypress	False	other	val
box	container	True	hyper	val
trumpet	artefact	True	hyper	val
frog	creature	True	hyper	val
holder	pistol	False	other	val
grapefruit	re-assessment	False	other	val
pistol	initiative	False	other	val
robin	creature	True	hyper	val
sword	artefact	True	hyper	val
box	artifact	True	hyper	val
lemon	food	True	hyper	val
coyote	mammal	True	hyper	val
sword	artifact	True	hyper	val
train	artifact	True	hyper	val
claw	eagle	False	other	val
commodity	freezer	False	other	val
violin	device	True	hyper	val
beast	lion	False	other	val
body	violin	False	other	val
pillow	bed	False	other	val
artefact	bowl	False	other	val
radio	appliance	True	hyper	val
butt	gun	False	other	val
lettuce	bond	False	other	val
bottom	wardrobe	False	other	val
wrench	object	True	hyper	val
transport	jet	False	other	val
stereo	appliance	True	hyper	val
freezer	plug	False	other	val
conveyance	truck	False	other	val
tuna	creature	True	hyper	val
object	coat	False	other	val
onion	produce	True	hyper	val
lizard	animal	True	hyper	val
frog	animal	True	hyper	val
radio	wire	False	other	val
clothing	scarf	False	other	val
hatchet	iron	False	other	val
fish	herring	False	other	val
mug	artefact	True	hyper	val
saw	herat	False	other	val
food	cranberry	False	other	val
cannon	chamber	False	other	val
steel	oven	False	other	val
apparel	jacket	False	other	val
snout	donkey	False	other	val
donkey	hair	False	other	val
glider	front	False	other	val
artifact	couch	False	other	val
cabbage	food	True	hyper	val
bottom	guitar	False	other	val
logo	scarf	False	other	val
spoon	container	True	hyper	val
cannon	object	True	hyper	val
cello	parking	False	other	val
overhaul	goat	False	other	val
wasp	animal	True	hyper	val
grapefruit	produce	True	hyper	val
coat	garment	True	hyper	val
fork	utensil	True	hyper	val
dress	shirt	False	other	val
dishwasher	artefact	True	hyper	val
instrument	piano	False	other	val
jacket	shirt	False	other	val
cloak	covering	True	hyper	val
missile	arm	True	hyper	val
tuna	food	True	hyper	val
saxophone	instrument	True	hyper	val
building	pub	False	other	val
availability	dishwasher	False	other	val
windshield	van	False	other	val
dishwasher	good	True	hyper	val
cranberry	berry	True	hyper	val
sieve	glass	False	other	val
bomber	transport	True	hyper	val
metal	ambulance	False	other	val
plastic	fork	False	other	val
point	screwdriver	False	other	val
potato	food	True	hyper	val
fur	beaver	False	other	val
scooter	necessity	False	other	val
motorcycle	transport	True	hyper	val
helicopter	conveyance	True	hyper	val
washer	steel	False	other	val
jar	artifact	True	hyper	val
garlic	food	True	hyper	val
creature	catfish	False	other	val
rabbit	creature	True	hyper	val
tanker	ship	True	hyper	val
plantation	battleship	False	other	val
cathedral	candle	False	other	val
scale	turtle	False	other	val
hawk	head	False	other	val
telephone	fridge	False	other	val
bull	mammal	True	hyper	val
train	anything	False	other	val
creature	pig	False	other	val
pike	sword	False	other	val
toad	frog	False	other	val
artifact	spear	False	other	val
bus	vehicle	True	hyper	val
glove	wear	True	hyper	val
leaf	beet	False	other	val
car	fighter	False	other	val
metal	trumpet	False	other	val
dishwasher	fridge	False	other	val
inside	hat	False	other	val
crow	creature	True	hyper	val
pigeon	animal	True	hyper	val
beetle	animal	True	hyper	val
stove	artefact	True	hyper	val
restaurant	cottage	False	other	val
spoon	object	True	hyper	val
building	restaurant	False	other	val
antenna	stereo	False	other	val
hat	object	True	hyper	val
mug	artifact	True	hyper	val
fuel	scooter	False	other	val
trout	creature	True	hyper	val
craft	fighter	False	other	val
truck	artefact	True	hyper	val
drum	saxophone	False	other	val
hymn	helicopter	False	other	val
dagger	device	True	hyper	val
wasp	occupation	False	other	val
bed	sofa	False	other	val
peach	produce	True	hyper	val
bookshop	stove	False	other	val
frog	amphibian	True	hyper	val
fork	cutlery	True	hyper	val
antenna	wasp	False	other	val
television	artefact	True	hyper	val
vegetable	garlic	False	other	val
coat	clothes	True	hyper	val
bag	accessory	True	hyper	val
animal	alligator	False	other	val
swan	vertebrate	True	hyper	val
chair	table	False	other	val
cottage	dwelling	True	hyper	val
good	stereo	False	other	val
crow	coward	False	other	val
table	artifact	True	hyper	val
stair	cathedral	False	other	val
chair	dresser	False	other	val
goat	herbivore	True	hyper	val
revolver	arm	True	hyper	val
pistol	cartridge	False	other	val
food	pear	False	other	val
artifact	hat	False	other	val
cherry	food	True	hyper	val
castle	necessity	False	other	test
fish	carp	False	other	test
leg	cockroach	False	other	test
starch	potato	False	other	test
pear	plum	False	other	test
creature	fox	False	other	test
outing	television	False	other	test
garlic	spice	True	hyper	test
object	bed	False	other	test
sieve	artifact	True	hyper	test
rabbit	beast	True	hyper	test
villa	dwelling	True	hyper	test
weapon	axe	False	other	test
phone	equipment	True	hyper	test
jet	conveyance	True	hyper	test
robe	commentary	False	other	test
starboard	frigate	False	other	test
cottage	home	True	hyper	test
moped	scooter	False	other	test
respect	jar	False	other	test
television	channel	False	other	test
food	grapefruit	False	other	test
salmon	animal	True	hyper	test
cod	food	True	hyper	test
bear	mammal	True	hyper	test
hat	crown	False	other	test
butterfly	insect	True	hyper	test
vertebrate	snake	False	other	test
sparrow	animal	True	hyper	test
gorilla	primate	True	hyper	test
glider	artefact	True	hyper	test
lettuce	vegetable	True	hyper	test
penguin	creature	True	hyper	test
carp	vertebrate	True	hyper	test
bull	animal	True	hyper	test
broccoli	produce	True	hyper	test
cello	artefact	True	hyper	test
owl	vertebrate	True	hyper	test
frigate	vessel	True	hyper	test
scarf	apparel	True	hyper	test
rabbit	sheep	False	other	test
bottle	label	False	other	test
frog	force	False	other	test
pharaoh	mackerel	False	other	test
garlic	hallway	False	other	test
glove	sweatshirt	False	other	test
cedar	sense	False	other	test
whale	food	True	hyper	test
jar	vessel	True	hyper	test
hotel	castle	False	other	test
corn	food	True	hyper	test
turtle	eye	False	other	test
bird	vulture	False	other	test
animal	mackerel	False	other	test
washer	device	True	hyper	test
library	building	True	hyper	test
cathedral	structure	True	hyper	test
bottle	bag	False	other	test
stove	migraine	False	other	test
penguin	vertebrate	True	hyper	test
appliance	phone	False	other	test
tuna	animal	True	hyper	test
hatchet	lesson	False	other	test
seafood	salmon	False	other	test
lion	creature	True	hyper	test
priest	pistol	False	other	test
carp	creature	True	hyper	test
problem	library	False	other	test
yacht	bus	False	other	test
lizard	creature	True	hyper	test
robe	artifact	True	hyper	test
helicopter	artefact	True	hyper	test
creature	beetle	False	other	test
shirt	covering	True	hyper	test
wear	coat	False	other	test
library	construction	True	hyper	test
hatchet	weapon	True	hyper	test
jacket	object	True	hyper	test
artefact	cannon	False	other	test
leg	ant	False	other	test
fox	animal	True	hyper	test
goose	creature	True	hyper	test
interior	fighter	False	other	test
bowl	kitchenware	True	hyper	test
object	rifle	False	other	test
tanker	hull	False	other	test
flute	artifact	True	hyper	test
scissors	hatchet	False	other	test
hat	accessory	True	hyper	test
grape	reef	False	other	test
fox	vertebrate	True	hyper	test
ant	animal	True	hyper	test
vulture	goose	False	other	test
beet	root	True	hyper	test
sword	object	True	hyper	test
good	washer	False	other	test
washer	dishwasher	False	other	test
fox	predator	True	hyper	test
revolver	pistol	True	hyper	test
flute	artefact	True	hyper	test
butterfly	creature	True	hyper	test
jet	artifact	True	hyper	test
vertebrate	cow	False	other	test
appliance	oven	False	other	test
penguin	seabird	True	hyper	test
kitchenware	jar	False	other	test
vertebrate	coyote	False	other	test
wrench	tool	True	hyper	test
revolver	weapon	True	hyper	test
spinach	cucumber	False	other	test
scale	herring	False	other	test
owl	predator	True	hyper	test
knife	tool	True	hyper	test
castle	structure	True	hyper	test
car	goody	False	other	test
lion	mouth	False	other	test
hat	headgear	True	hyper	test
knife	utensil	True	hyper	test
axe	clearance	False	other	test
strawberry	produce	True	hyper	test
